L [m],Gamma soil kN/m3],phi soil [degree],Surcharge [kN/m],Concrete cost,Pile Diameter (X1) [m]
3,14,27,0,50,0.258
4,14,27,0,50,0.271
5,14,27,0,50,0.369
6,14,27,0,50,0.505
7,14,27,0,50,0.657
8,14,27,0,50,0.822
9,14,27,0,50,0.993
10,14,27,0,50,1.173
11,14,27,0,50,1.363
12,14,27,0,50,1.56
3,15,27,0,50,0.257
4,15,27,0,50,0.271
5,15,27,0,50,0.39
6,15,27,0,50,0.524
7,15,27,0,50,0.681
8,15,27,0,50,0.852
9,15,27,0,50,1.032
10,15,27,0,50,1.22
11,15,27,0,50,1.426
12,15,27,0,50,1.634
3,16,27,0,50,0.257
4,16,27,0,50,0.271
5,16,27,0,50,0.399
6,16,27,0,50,0.55
7,16,27,0,50,0.713
8,16,27,0,50,0.885
9,16,27,0,50,1.068
10,16,27,0,50,1.272
11,16,27,0,50,1.48
12,16,27,0,50,1.676
3,17,27,0,50,0.258
4,17,27,0,50,0.271
5,17,27,0,50,0.42
6,17,27,0,50,0.571
7,17,27,0,50,0.739
8,17,27,0,50,0.904
9,17,27,0,50,1.108
10,17,27,0,50,1.316
11,17,27,0,50,1.521
12,17,27,0,50,1.744
3,18,27,0,50,0.257
4,18,27,0,50,0.281
5,18,27,0,50,0.431
6,18,27,0,50,0.591
7,18,27,0,50,0.758
8,18,27,0,50,0.946
9,18,27,0,50,1.148
10,18,27,0,50,1.355
11,18,27,0,50,1.573
3,19,27,0,50,0.258
4,19,27,0,50,0.294
5,19,27,0,50,0.448
6,19,27,0,50,0.606
7,19,27,0,50,0.789
8,19,27,0,50,0.972
9,19,27,0,50,1.185
10,19,27,0,50,1.393
11,19,27,0,50,1.621
3,20,27,0,50,0.259
4,20,27,0,50,0.306
5,20,27,0,50,0.463
6,20,27,0,50,0.63
7,20,27,0,50,0.809
8,20,27,0,50,1.011
9,20,27,0,50,1.22
10,20,27,0,50,1.427
11,20,27,0,50,1.676
3,14,28,0,50,0.258
4,14,28,0,50,0.271
5,14,28,0,50,0.368
6,14,28,0,50,0.498
7,14,28,0,50,0.643
8,14,28,0,50,0.803
9,14,28,0,50,0.959
10,14,28,0,50,1.153
11,14,28,0,50,1.341
12,14,28,0,50,1.536
3,15,28,0,50,0.258
4,15,28,0,50,0.27
5,15,28,0,50,0.378
6,15,28,0,50,0.517
7,15,28,0,50,0.67
8,15,28,0,50,0.83
9,15,28,0,50,1.008
10,15,28,0,50,1.195
11,15,28,0,50,1.394
12,15,28,0,50,1.599
3,16,28,0,50,0.258
4,16,28,0,50,0.271
5,16,28,0,50,0.387
6,16,28,0,50,0.536
7,16,28,0,50,0.696
8,16,28,0,50,0.866
9,16,28,0,50,1.051
10,16,28,0,50,1.241
11,16,28,0,50,1.432
12,16,28,0,50,1.644
3,17,28,0,50,0.258
4,17,28,0,50,0.271
5,17,28,0,50,0.406
6,17,28,0,50,0.559
7,17,28,0,50,0.719
8,17,28,0,50,0.897
9,17,28,0,50,1.078
10,17,28,0,50,1.282
11,17,28,0,50,1.484
12,17,28,0,50,1.714
3,18,28,0,50,0.258
4,18,28,0,50,0.274
5,18,28,0,50,0.416
6,18,28,0,50,0.579
7,18,28,0,50,0.747
8,18,28,0,50,0.919
9,18,28,0,50,1.124
10,18,28,0,50,1.324
11,18,28,0,50,1.548
3,19,28,0,50,0.258
4,19,28,0,50,0.285
5,19,28,0,50,0.436
6,19,28,0,50,0.597
7,19,28,0,50,0.769
8,19,28,0,50,0.959
9,19,28,0,50,1.158
10,19,28,0,50,1.362
11,19,28,0,50,1.597
3,20,28,0,50,0.258
4,20,28,0,50,0.296
5,20,28,0,50,0.448
6,20,28,0,50,0.613
7,20,28,0,50,0.795
8,20,28,0,50,0.988
9,20,28,0,50,1.194
10,20,28,0,50,1.409
11,20,28,0,50,1.644
3,14,29,0,50,0.257
4,14,29,0,50,0.271
5,14,29,0,50,0.357
6,14,29,0,50,0.486
7,14,29,0,50,0.631
8,14,29,0,50,0.778
9,14,29,0,50,0.946
10,14,29,0,50,1.127
11,14,29,0,50,1.309
12,14,29,0,50,1.499
3,15,29,0,50,0.258
4,15,29,0,50,0.271
5,15,29,0,50,0.366
6,15,29,0,50,0.507
7,15,29,0,50,0.651
8,15,29,0,50,0.815
9,15,29,0,50,0.987
10,15,29,0,50,1.167
11,15,29,0,50,1.363
12,15,29,0,50,1.566
3,16,29,0,50,0.258
4,16,29,0,50,0.27
5,16,29,0,50,0.385
6,16,29,0,50,0.527
7,16,29,0,50,0.672
8,16,29,0,50,0.848
9,16,29,0,50,1.018
10,16,29,0,50,1.214
11,16,29,0,50,1.414
12,16,29,0,50,1.62
3,17,29,0,50,0.258
4,17,29,0,50,0.27
5,17,29,0,50,0.394
6,17,29,0,50,0.541
7,17,29,0,50,0.701
8,17,29,0,50,0.868
9,17,29,0,50,1.058
10,17,29,0,50,1.26
11,17,29,0,50,1.461
12,17,29,0,50,1.675
3,18,29,0,50,0.257
4,18,29,0,50,0.271
5,18,29,0,50,0.412
6,18,29,0,50,0.565
7,18,29,0,50,0.72
8,18,29,0,50,0.885
9,18,29,0,50,1.096
10,18,29,0,50,1.296
11,18,29,0,50,1.509
12,18,29,0,50,1.739
3,19,29,0,50,0.258
4,19,29,0,50,0.276
5,19,29,0,50,0.421
6,19,29,0,50,0.576
7,19,29,0,50,0.751
8,19,29,0,50,0.931
9,19,29,0,50,1.132
10,19,29,0,50,1.339
11,19,29,0,50,1.559
3,20,29,0,50,0.258
4,20,29,0,50,0.287
5,20,29,0,50,0.441
6,20,29,0,50,0.6
7,20,29,0,50,0.772
8,20,29,0,50,0.961
9,20,29,0,50,1.159
10,20,29,0,50,1.377
